"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1806301798350909641","Thu Jun 27 12:21:22 +0000 2024","72988","NARCISSISM #JAEMIN #재민 #NARCISSISM #JAEMIN_NARCISSISM #NCT #NCTDREAM https://t.co/gvDMIDcOFE","1806301798350909641","https://pbs.twimg.com/media/GRFF582bEAAdCYl.jpg","","pt","","2886","1493","37522","https://x.com/NCTsmtown/status/1806301798350909641","4811011050","NCTsmtown"
"1815782051964231824","Tue Jul 23 16:12:31 +0000 2024","326","#JAEMIN_NARCISSISM #JAEMIN #재민 ️ https://t.co/oxqMlwU2M0","1815782051964231824","https://pbs.twimg.com/media/GTL0IgSasAAC5uE.jpg","","qme","for 🐰/🐱🌙✨🌟","0","0","263","https://x.com/Mingocken/status/1815782051964231824","1588309368680124416","Mingocken"
"1815278515534893067","Mon Jul 22 06:51:39 +0000 2024","1729","At Narcissism!! #JAEMIN_NARCISSISM https://t.co/6VBGEoSQhO","1815278515534893067","https://pbs.twimg.com/media/GTEqL51a8AAn4-D.jpg","","tl","","14","0","96","https://x.com/97prinkless/status/1815278515534893067","1344305336618872833","97prinkless"
"1814144401968693454","Fri Jul 19 03:45:05 +0000 2024","1359","[] 240719 | NARCISSISM x ITZAVIBE via Musinsa Global Instagram Post #JAEMIN #재민 #JAEMIN_NARCISSISM https://t.co/Ca5CBmun9u","1814144401968693454","https://pbs.twimg.com/media/GS0ituSbUAAdXj3.jpg","","ca","","37","0","1305","https://x.com/813UPDATES/status/1814144401968693454","846967939374989315","813UPDATES"
"1815765990657179992","Tue Jul 23 15:08:42 +0000 2024","2431","NARCISSISM &amp; ITZAVIBE(ITZ*) 협업제품 발매 24. 7. 22(MON) 12:00 KST ~ 24. 7. 28(SUN) At MUSINSA https://t.co/dU80A2gvNu MUSINSA GLOBAL https://t.co/KVK4iFqMnq https://t.co/T68iUsHdbL","1815765990657179992","https://pbs.twimg.com/media/GTLkjSTbYAA2YzI.jpg","","ko","https://maps.app.goo.gl/LiB6vH","118","5","2319","https://x.com/ITZAVIBE_kr/status/1815765990657179992","1562971923973230592","ITZAVIBE_kr"
"1815022998551924903","Sun Jul 21 13:56:19 +0000 2024","6047","-JAEMIN bakal milih frame yg bagus di narcissism untuk dijual trus semua hasilnya bakal di donasi; dan dia udah dapet izin dari DREAMIES buat ini. jadi donasi ini bakal dari JAEMIN DREAM dan sijeuni pict ctto https://t.co/Uexld5nchK","1815022998551924903","https://pbs.twimg.com/media/GTBBzAwbMAAdbwH.jpg","","in","","261","94","1506","https://x.com/NCTDreamINA/status/1815022998551924903","1255464612058849280","NCTDreamINA"
"1813012467787964484","Tue Jul 16 00:47:11 +0000 2024","1633","day 18 narcissism by photographer jaemin leggo ! ️ PHOTOGRAPHER JAEMIN 1ST EXHIBITION #JAEMIN_NARCISSISM #재민작가님_나르시시즘_기대된당힛 @NA_RCISSISM_ https://t.co/dIw6GAx6PR","1813012467787964484","https://pbs.twimg.com/media/GSkdOztaIAAWjGl.jpg","","en","shopee recommendation : ","4","201","585","https://x.com/jungshasa/status/1813012467787964484","1307622859968110594","jungshasa"
"1815757465214128458","Tue Jul 23 14:34:49 +0000 2024","320","The top best-selling items on Musinsa in Korea Japan Hong Kong Taiwan Indonesia and Thailand are filled with items from #NARCISSISMxITZAVIBE️‍ NARCISSISM BY NA JAEMIN #JAEMIN_NARCISSISM @NA_RCISSISM_ https://t.co/Kjn98unatL","1815757465214128458","https://pbs.twimg.com/media/GTLdxUzbIAA074n.jpg","","en","","21","1","286","https://x.com/hourlyjaeminn/status/1815757465214128458","1546116204582125568","hourlyjaeminn"
"1815706806070485248","Tue Jul 23 11:13:31 +0000 2024","494","재민시 ૮꒰ ᵕ ༝ ᵕ ꒱ა ·˚˚·。 #JAEMIN_NARCISSISM https://t.co/klSkdH2DO8","1815706806070485248","https://pbs.twimg.com/media/GTKvtdzbYAA242q.jpg","","ko","dream7 + 🐈🐈🐈","2","0","498","https://x.com/mcdtournesol/status/1815706806070485248","595455100","mcdtournesol"
"1813567353910919674","Wed Jul 17 13:32:06 +0000 2024","495","𝐈️𝐌𝐞 𖥔 ₊˚ ׄ ̲̎ ׅ~ ₊ ˚ 𖧧 #JAEMIN_NARCISSISM https://t.co/rCLLtQBnDj","1813567353910919674","https://pbs.twimg.com/media/GSsV46KbwAAz6Za.jpg","","und","","2","0","213","https://x.com/miraesyii/status/1813567353910919674","1391306053871046659","miraesyii"
"1806866623137292702","Sat Jun 29 01:45:47 +0000 2024","1423","재민이 사진전 #JAEMIN_NARCISSISM #NARCISSISM https://t.co/THRbdwQyBc","1806866623137292702","https://pbs.twimg.com/media/GRNHmjla0AAKNht.jpg","","ko","재민 제노 잼젠","37","0","998","https://x.com/jamong1323/status/1806866623137292702","1422887886010019845","jamong1323"
"1813592886807806387","Wed Jul 17 15:13:33 +0000 2024","1846","#JAEMIN_NARCISSISM #JAEMIN #재민 pick up https://t.co/sDvyVCdhNk","1813592886807806387","https://pbs.twimg.com/media/GSstG-jbQAANNh3.jpg","","en","for 🐰/🐱🌙✨🌟","11","0","1352","https://x.com/Mingocken/status/1813592886807806387","1588309368680124416","Mingocken"
"1806301798350909641","Thu Jun 27 12:21:26 +0000 2024","19754","#JAEMIN #재민 #NARCISSISM #JAEMIN_NARCISSISM #NCT #NCTDREAM https://t.co/AsFUlg3etb","1806301812070457405","https://pbs.twimg.com/media/GRFF62PasAA_8Bh.jpg","NCTsmtown","qme","","404","222","13128","https://x.com/NCTsmtown/status/1806301812070457405","4811011050","NCTsmtown"
"1814144463180312989","Fri Jul 19 03:45:19 +0000 2024","1049","[] 240719 | NARCISSISM x ITZAVIBE via Musinsa Global Instagram Post #JAEMIN #재민 #JAEMIN_NARCISSISM https://t.co/kWjNRgH4BP","1814144463180312989","https://pbs.twimg.com/media/GS0ixMCaYAA5JrD.jpg","","ca","","8","0","918","https://x.com/813UPDATES/status/1814144463180312989","846967939374989315","813UPDATES"
"1815586388894752801","Tue Jul 23 03:15:01 +0000 2024","2003"," NARCISSISM BY NA JAEMIN #JAEMIN_NARCISSISM #NARCISSISMxITZAVIBE @NA_RCISSISM_ https://t.co/NyFUIsncaZ","1815586388894752801","https://pbs.twimg.com/media/GTJCMWUaUAABlfK.jpg","","tl","","10","102","827","https://x.com/hourlyjaeminn/status/1815586388894752801","1546116204582125568","hourlyjaeminn"
"1808697085291811302","Thu Jul 04 02:59:23 +0000 2024","2679","정우원 작가님 인스타 재민이 NCT NA JAEMIN x WON / Won s kinetic mirror x Jaemin s handwriting / NARCISSISM exhibition at cccs 자기애(自己愛 self-love) - 거울은 또 하나의 나 를 만들어 낸다. 그렇게 내 앞에 존재하는 또 다른 나 는 어색함과 익숙함 그 섞이지 못하는 복잡한 https://t.co/DBxlYIHRZZ","1808697085291811302","https://pbs.twimg.com/amplify_video_thumb/1808697033072783360/img/ToWvXapCUNcsMdqk.jpg","","ko","재민 제노 잼젠","23","0","1728","https://x.com/jamong1323/status/1808697085291811302","1422887886010019845","jamong1323"
"1811369222456623427","Thu Jul 11 11:57:30 +0000 2024","9054","240711 NARCISSISM PRE 오늘 넘 귀엽고 예쁘고 사랑스럽당 ㅠ #재민 #JAEMIN #NCTDREAM https://t.co/vvTnoLwowk","1811369222456623427","https://pbs.twimg.com/media/GSNGsdoboAANyol.jpg","","ko","♥️ for JAEMIN.","88","0","4066","https://x.com/NANA_lavida/status/1811369222456623427","1471498053035036678","NANA_lavida"
"1814144434906476776","Fri Jul 19 03:45:13 +0000 2024","868","[] 240719 | NARCISSISM x ITZAVIBE via Musinsa Global Instagram Post #JAEMIN #재민 #JAEMIN_NARCISSISM https://t.co/4Z7ALzXouR","1814144434906476776","https://pbs.twimg.com/media/GS0ivioacAAXvqR.jpg","","ca","","22","0","987","https://x.com/813UPDATES/status/1814144434906476776","846967939374989315","813UPDATES"
"1811403015879893469","Thu Jul 11 14:11:47 +0000 2024","10164","240711 NARCISSISM PRE 너무 고맙고 고생많았어 #재민 #JAEMIN #NCTDREAM https://t.co/QSNPWD6fk3","1811403015879893469","https://pbs.twimg.com/media/GSNlbhuaUAAfLxT.jpg","","ko","♥️ for JAEMIN.","108","0","4075","https://x.com/NANA_lavida/status/1811403015879893469","1471498053035036678","NANA_lavida"
"1814552562877800841","Sat Jul 20 06:46:58 +0000 2024","321","I ️ narcissism(+jaemin) https://t.co/LPFCfTLW1O","1814552562877800841","https://pbs.twimg.com/media/GS6V7lVaoAAI137.jpg","","en","goodbye summer","1","0","156","https://x.com/meraki_sr/status/1814552562877800841","1238728141410975749","meraki_sr"
"1806297844610912644","Thu Jun 27 12:05:40 +0000 2024","18035","photographer jaemin at his 1st ever photo exhibition: NARCISSISM https://t.co/GKGd0eYByz","1806297844610912644","https://pbs.twimg.com/media/GRFCUHTXcAAzmvP.jpg","","en","21 (she/her)","466","1","7302","https://x.com/njmhae/status/1806297844610912644","1401751738756050949","njmhae"
"1806297600829932021","Thu Jun 27 12:04:42 +0000 2024","1237","คนเก่งของชั้น ️️️️ JAEMIN 1ST PHOTO EXHIBITION #NARCISSISM #JAEMIN_NARCISSISM https://t.co/YIFohV4C9g","1806297600829932021","https://pbs.twimg.com/amplify_video_thumb/1806297049555697664/img/z-V3wH4hUD3jczfy.jpg","","en","อุปนิสัย:ไม่ดี","4","2","792","https://x.com/araiwaaa5/status/1806297600829932021","1380470687924543497","araiwaaa5"
"1803987407097786829","Fri Jun 21 03:04:48 +0000 2024","2347","무신사 인스타 재민이 사진전 𝗠𝗨𝗦𝗜𝗡𝗦𝗔 𝗗𝗥𝗢𝗣 &lt;NARCISSISM - JAEMIN 1st PHOTO EXHIBITION&gt; https://t.co/LHOVIHzDqB","1803987407097786829","https://pbs.twimg.com/media/GQkM-5TakAIWl2k.jpg","","ko","재민 제노 잼젠","20","0","1456","https://x.com/jamong1323/status/1803987407097786829","1422887886010019845","jamong1323"
"1806298547513602220","Thu Jun 27 12:08:27 +0000 2024","3630","jeno narcissism by jaemin https://t.co/kXxZh5JiBD","1806298547513602220","https://pbs.twimg.com/media/GRFC8tnbkAAC8SD.jpg","","in","","40","0","930","https://x.com/jenmong23/status/1806298547513602220","1239369126658760704","jenmong23"
"1801430585011015787","Fri Jun 14 01:44:55 +0000 2024","46198","#NCT #재민 첫 개인 사진전 #NARCISSISM 6월 29일오픈! 사진 작가로 데뷔! 재민의 독창적인 감성으로 팬들과 교감! 7년 동안 재민의 시선으로 바라본 세상 한눈에 만난다! https://t.co/5c9P1lGRC0 #JAEMIN #재민 #NARCISSISM #JAEMIN_NARCISSISM #NCT #NCTDREAM https://t.co/I9Z6TboBr8","1801430585011015787","https://pbs.twimg.com/media/GP_3kPybUAA65sV.jpg","","ko","","3011","1600","27395","https://x.com/NCTsmtown/status/1801430585011015787","4811011050","NCTsmtown"
